epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4392.44,1.0225,1.26362,1.13259,0.61127,0.59808,0.55555,0.24696,1.26552,1.714,1.3583,0.000804277,0.000804277,0.000804277
90,4414.35,1.01452,1.26994,1.12472,0.5743,0.63224,0.57307,0.26639,1.24747,1.6879,1.33232,0.000800131,0.000800131,0.000800131
91,4435.84,1.01116,1.25389,1.12731,0.60472,0.60865,0.56143,0.25736,1.25636,1.66043,1.34301,0.000795954,0.000795954,0.000795954
92,4458.46,1.01097,1.25077,1.12638,0.55291,0.63646,0.55081,0.25737,1.25621,1.73699,1.34677,0.000791744,0.000791744,0.000791744
93,4479.37,1.01066,1.26369,1.12173,0.55676,0.67345,0.57162,0.26362,1.27808,1.75294,1.35847,0.000787503,0.000787503,0.000787503
94,4499.77,1.00714,1.26235,1.1201,0.53801,0.62585,0.55667,0.25833,1.25351,1.69811,1.3415,0.000783231,0.000783231,0.000783231
95,4518.52,1.01266,1.2519,1.1225,0.57019,0.64079,0.57496,0.25614,1.26434,1.65486,1.34204,0.000778929,0.000778929,0.000778929
96,4537.64,0.99885,1.21884,1.11688,0.54905,0.6168,0.54249,0.25044,1.27353,1.7461,1.34558,0.000774596,0.000774596,0.000774596
97,4559.52,1.00579,1.25521,1.1244,0.56148,0.67337,0.5759,0.26657,1.25534,1.69507,1.35362,0.000770234,0.000770234,0.000770234
98,4581.63,1.01482,1.24872,1.12728,0.56813,0.65341,0.55729,0.2591,1.25932,1.6779,1.34834,0.000765843,0.000765843,0.000765843
99,4602.14,1.00876,1.23482,1.12298,0.53322,0.6437,0.55353,0.2521,1.26289,1.71014,1.35311,0.000761423,0.000761423,0.000761423
100,4620.35,1.00033,1.23212,1.11352,0.55522,0.6278,0.56057,0.25995,1.2643,1.70802,1.36223,0.000756976,0.000756976,0.000756976
101,4641.48,1.01032,1.22153,1.12339,0.53073,0.66038,0.5556,0.26116,1.24876,1.688,1.33179,0.0007525,0.0007525,0.0007525
102,4663.62,1.00039,1.22184,1.11692,0.56924,0.66014,0.56142,0.25929,1.25257,1.64326,1.33483,0.000747997,0.000747997,0.000747997
103,4686.99,0.998,1.20821,1.11084,0.5641,0.66219,0.5512,0.24969,1.26717,1.67354,1.36108,0.000743468,0.000743468,0.000743468
104,4707.95,1.00726,1.2281,1.11874,0.57408,0.61388,0.55627,0.26169,1.2397,1.71598,1.3361,0.000738913,0.000738913,0.000738913
105,4729.15,0.99565,1.18793,1.10578,0.57445,0.63546,0.55332,0.25578,1.26951,1.75524,1.35117,0.000734332,0.000734332,0.000734332
106,4752.54,0.99479,1.22013,1.11276,0.54545,0.64159,0.57045,0.25771,1.28017,1.68223,1.35746,0.000729725,0.000729725,0.000729725
107,4774.48,1.00026,1.20764,1.10832,0.60524,0.65259,0.58352,0.26712,1.24251,1.64281,1.33112,0.000725094,0.000725094,0.000725094
108,4794.83,0.9875,1.19993,1.10537,0.57706,0.64662,0.56988,0.25886,1.25893,1.71076,1.34142,0.000720439,0.000720439,0.000720439
109,4816.52,0.9855,1.19024,1.09958,0.5905,0.64137,0.58213,0.26525,1.25097,1.7485,1.31665,0.000715761,0.000715761,0.000715761
110,4838.37,0.98544,1.17905,1.10026,0.53899,0.6737,0.57676,0.26849,1.23415,1.65379,1.31762,0.000711059,0.000711059,0.000711059
111,4859.37,0.98473,1.18683,1.09819,0.55652,0.64823,0.56949,0.25963,1.26436,1.63072,1.349,0.000706335,0.000706335,0.000706335
112,4881.49,0.98325,1.18221,1.09954,0.56838,0.65632,0.57166,0.2609,1.27058,1.66772,1.36459,0.000701588,0.000701588,0.000701588
113,4902.52,0.97429,1.17949,1.09178,0.54646,0.65294,0.55283,0.25436,1.23754,1.74734,1.31503,0.00069682,0.00069682,0.00069682
